grade,FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
1,3.667104206182696e-06,3.1579544744552813e-09,221534074.42292535,280870094.3774354,1498723.262709133,1446218.0202920695,56157917.653651565,2370527927.332616,2453288477.639316,1395487611.246881,100,65000,170,6,1.5,36767.899,207794.706,24.9665922,302.176887,225.9908,10462.4587
1,4.358285111720168e-06,4.362423546985701e-09,265395723.1477912,218572163.58985883,1364568.583412644,1282318.2101421666,66483991.80917403,2821554921.451857,2511062962.523112,1144839326.5495234,100,65000,170,6,1.5,29018.1373,122838.97,24.4989011,280.390791,219.082203,9179.99133
1,3.800761146877101e-06,3.804309901794767e-09,207100179.07758617,241189324.6045506,1172897.205112853,1116180.5219568135,70201013.49772058,2019245920.979631,2664078491.906524,1283957441.821557,100,65000,170,6,1.5,30908.6701,130168.239,25.8050816,291.500247,222.057188,9816.34391
1,3.938977569634925e-06,3.4837546063275958e-09,226569399.38147557,274668463.1924437,1333644.7158866122,1063368.5431868308,49270473.20892286,2995463978.709147,2589131432.192209,1435618295.2157128,100,65000,170,6,1.5,40001.4509,174340.893,25.6620073,295.23516,224.085141,10038.0681
1,4.535820900086062e-06,4.210712105706191e-09,279347489.1885773,252570950.74798983,1312343.5066487344,1261595.434503151,50129192.04483888,2160045293.149996,2108539577.9359024,1483668931.1934495,100,65000,170,6,1.5,37742.9336,193870.796,28.5831381,293.578663,222.063435,9933.67259
1,4.599514091213306e-06,4.325571631780403e-09,241124028.0261033,296442219.91359484,1184292.6790640536,1018949.438091806,52712671.69294611,2331135470.7687693,2474117334.2295737,1503140882.3194408,100,65000,170,6,1.5,42184.1382,183246.026,25.0165408,298.02767,223.341628,10189.4025
1,3.319369304749882e-06,3.4941940069904603e-09,256089059.52200463,259736980.55034,1054384.6813051926,1214315.9144488203,51344465.22744554,2279236415.228045,2482619436.019109,1429054675.1190886,100,65000,170,6,1.5,39578.3727,213234.375,27.1836295,296.902538,224.824021,10113.8024
1,3.449626896882009e-06,3.552264362924653e-09,262363818.58839983,222311954.11947888,1384487.640147895,1047386.296575812,59528387.02495046,2623996752.702638,2178723543.6798954,1271565420.3604586,100,65000,170,6,1.5,30656.2745,122905.907,27.5263743,288.426236,222.353994,9634.32681
1,4.609428603375348e-06,3.110729944355927e-09,289783017.9638559,237393808.1297688,1204712.1544961114,1293874.6886953446,68790920.6629002,2489888157.435632,2113489888.3701975,1151221095.040339,100,65000,170,6,1.5,30131.8961,135950.631,23.778335,294.532637,223.512833,10064.3201
1,3.798456465576317e-06,3.910683603568539e-09,231352650.89487556,278763422.6977802,1320809.031411961,1076350.3711669515,68198731.53470407,2205458410.7682757,2305200243.911767,1425987029.4093003,100,65000,170,6,1.5,33827.9354,139447.695,25.3765889,299.14395,223.750318,10260.0141
1,3.953309604087814e-06,4.520859093630036e-09,257093761.40399423,254315068.39170316,1009906.2142677456,1196895.0825213618,53067801.93345931,2292918289.3462334,2288067176.9820127,1115781011.0569863,100,65000,170,6,1.5,38854.583,194470.699,21.1985965,291.289273,221.608704,9770.47406
1,3.474808277026333e-06,3.502124684419943e-09,286813464.31302774,226313755.73990312,1043123.1925035836,1007970.2722827762,55805281.785469934,2036799111.250388,2521848458.930173,1233056070.4418824,100,65000,170,6,1.5,34482.4469,151124.8,26.4252789,290.91962,223.147107,9779.69838
1,3.725770432227209e-06,3.760351532911007e-09,211079949.08355665,243966256.02909827,1197645.5085446297,1452557.9121730973,72584696.03422013,2769812156.852873,2747423519.574321,1114190709.1065054,100,65000,170,6,1.5,30327.3618,145008.645,21.9317015,288.259015,221.646728,9627.36692
1,3.83304692637172e-06,3.78313519890137e-09,292946248.8059293,275206485.84206164,1448362.9783260217,1281972.3610025388,70180627.82089122,2649742236.19091,2917793734.235301,1293014695.020955,100,65000,170,6,1.5,32716.5873,144363.65,22.9361179,293.811994,222.664806,9952.22649
1,3.0997236354352665e-06,4.390132000827866e-09,234461692.4396761,203695353.01040116,1159901.1124918128,1148441.54727052,54969393.802249625,2788776016.499625,2710066743.344291,1055189726.1124632,100,65000,170,6,1.5,31833.6114,139681.031,24.0728372,277.030787,219.779385,8930.32679
1,4.090223715330765e-06,4.1660871047315305e-09,275710326.4237362,212829287.18164656,1181584.038495483,1181189.159272306,51970030.13828757,2373892744.9162407,2023034581.852773,1053566309.6796331,100,65000,170,6,1.5,33424.0276,155455.139,23.4944132,284.951367,220.487984,9430.88725
1,3.390414963675998e-06,3.3475320639983462e-09,283518850.73565227,236204338.85715356,1262249.1286947331,1377340.3381962464,72498401.67979565,2411526184.0084558,2056351660.399123,1468259177.1995792,100,65000,170,6,1.5,28753.4836,134854.241,30.4858719,294.508072,223.586948,9999.79539
1,4.4576704796376674e-06,3.520018556347149e-09,224217150.9165919,255732848.8043813,1376842.438975776,1016183.544676132,59747215.0465913,2334845993.183937,2398714303.234148,1109316015.827882,100,65000,170,6,1.5,34123.1791,137446.82,21.2752583,295.219947,223.188184,10065.3341
1,4.595681678751643e-06,4.003039874341941e-09,247033692.9384261,283007465.64245254,1322310.7420374928,1402161.2151918623,54578848.71450366,2406377786.3041043,2422258091.379829,1422045600.1288154,100,65000,170,6,1.5,39046.5518,213239.938,24.7387835,297.229948,223.260448,10149.1488
